week_start,schools_closed,pubs_closed,shops_closed,eating_places_closed,stay_at_home,household_mixing_indoors_banned,wfh,rule_of_6_indoors,curfew,eat_out_to_help_out
2020-03-02,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,1,0,1,0,0,1,0,0,0
2020-03-23,1,1,1,1,1,1,1,0,0,0
2020-03-30,1,1,1,1,1,1,1,0,0,0
2020-04-06,1,1,1,1,1,1,1,0,0,0
2020-04-13,1,1,1,1,1,1,1,0,0,0
2020-04-20,1,1,1,1,1,1,1,0,0,0
2020-04-27,1,1,1,1,1,1,1,0,0,0
2020-05-04,1,1,1,1,1,1,1,0,0,0
2020-05-11,1,1,1,1,0,1,1,0,0,0
2020-05-18,1,1,1,1,0,1,1,0,0,0
2020-05-25,1,1,1,1,0,1,1,0,0,0
2020-06-01,0,1,1,1,0,1,1,0,0,0
2020-06-08,0,1,1,1,0,1,1,0,0,0
2020-06-15,0,1,0,1,0,1,1,0,0,0
2020-06-22,0,1,0,1,0,1,1,0,0,0
2020-06-29,0,1,0,1,0,1,1,0,0,0
2020-07-06,0,0,0,0,0,0,1,0,0,0
2020-07-13,0,0,0,0,0,0,1,0,0,0
2020-07-20,0,0,0,0,0,0,1,0,0,0
2020-07-27,0,0,0,0,0,0,1,0,0,0
2020-08-03,0,0,0,0,0,0,0,0,0,1
2020-08-10,0,0,0,0,0,0,0,0,0,1
2020-08-17,0,0,0,0,0,0,0,0,0,1
2020-08-24,0,0,0,0,0,0,0,0,0,1
2020-08-31,0,0,0,0,0,0,0,0,0,0
2020-09-07,0,0,0,0,0,0,0,0,0,0
2020-09-14,0,0,0,0,0,0,0,1,0,0
2020-09-21,0,0,0,0,0,0,1,1,1,0
2020-09-28,0,0,0,0,0,0,1,1,1,0
2020-10-05,0,0,0,0,0,0,1,1,1,0
2020-10-12,0,0,0,0,0,1,1,1,1,0
2020-10-19,0,0,0,0,0,1,1,0,1,0
2020-10-26,0,0,0,0,0,1,1,0,1,0
2020-11-02,0,1,1,1,1,1,1,0,1,0
2020-11-09,0,1,1,1,1,1,1,0,0,0
2020-11-16,0,1,1,1,1,1,1,0,0,0
2020-11-23,0,1,1,1,1,1,1,0,0,0
2020-11-30,0,1,1,1,1,1,1,0,1,0
2020-12-07,0,0,0,0,0,1,1,0,1,0
2020-12-14,0,1,1,1,1,1,1,0,1,0
2020-12-21,0,1,1,1,1,1,1,0,0,0
2020-12-28,0,1,1,1,1,1,1,0,0,0
2021-01-04,1,1,1,1,1,1,1,0,0,0
2021-01-11,1,1,1,1,1,1,1,0,0,0
2021-01-18,1,1,1,1,1,1,1,0,0,0
2021-01-25,1,1,1,1,1,1,1,0,0,0
2021-02-01,1,1,1,1,1,1,1,0,0,0
2021-02-08,1,1,1,1,1,1,1,0,0,0
2021-02-15,1,1,1,1,1,1,1,0,0,0
2021-02-22,1,1,1,1,1,1,1,0,0,0
2021-03-01,1,1,1,1,1,1,1,0,0,0
2021-03-08,0,1,1,1,1,1,1,0,0,0
2021-03-15,0,1,1,1,1,1,1,0,0,0
2021-03-22,0,1,1,1,1,1,1,0,0,0
2021-03-29,0,1,1,1,0,1,1,0,0,0
2021-04-05,0,1,1,1,0,1,1,0,0,0
2021-04-12,0,0,0,0,0,1,1,0,0,0
2021-04-19,0,0,0,0,0,1,1,0,0,0
